input position,input joint,output joint
"(-2.0, -0.0)","(-3.18, -3.16)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.17, -3.06)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.23, -3.24)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.07, -3.16)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.2, -3.24)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.05, -3.05)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.15, -3.05)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.13, -3.1)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.08, -3.24)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.17, -3.18)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.15, -3.06)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.13, -3.09)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.09, -3.19)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.08, -3.22)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.24, -3.22)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.12, -3.07)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.23, -3.05)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.13, -3.19)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.2, -3.17)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.21, -3.14)","(-3.14, -3.14)"
"(-1.95, -0.32)","(-3.09, -2.79)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.18, -2.84)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.2, -2.75)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.24, -2.8)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.05, -2.81)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.11, -2.81)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.18, -2.85)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.23, -2.74)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.05, -2.88)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.06, -2.86)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.22, -2.75)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.24, -2.88)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.1, -2.88)","(-3.14, -2.81)"
