input position,input joint,output joint
"(-2.0, -0.0)","(-3.14, -3.14)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.13, -3.16)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.14, -3.13)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.19, -3.11)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.14, -3.09)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.14, -3.16)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.1, -3.16)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.13, -3.15)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.1, -3.15)","(-3.14, -3.14)"
"(-2.0, -0.0)","(-3.17, -3.13)","(-3.14, -3.14)"
"(-1.95, -0.32)","(-3.1, -2.81)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.13, -2.79)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.17, -2.79)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.16, -2.79)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.1, -2.77)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.13, -2.85)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.1, -2.85)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.18, -2.81)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.12, -2.8)","(-3.14, -2.81)"
"(-1.95, -0.32)","(-3.17, -2.79)","(-3.14, -2.81)"
"(-1.79, -0.61)","(-3.15, -2.51)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.13, -2.46)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.09, -2.44)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.15, -2.48)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.16, -2.53)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.17, -2.5)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.11, -2.51)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.11, -2.45)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.15, -2.46)","(-3.14, -2.48)"
"(-1.79, -0.61)","(-3.14, -2.52)","(-3.14, -2.48)"
"(-1.55, -0.84)","(-3.18, -2.12)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.14, -2.15)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.19, -2.11)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.12, -2.13)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.12, -2.12)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.1, -2.13)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.14, -2.19)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.18, -2.15)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.11, -2.13)","(-3.14, -2.15)"
"(-1.55, -0.84)","(-3.17, -2.14)","(-3.14, -2.15)"
"(-1.25, -0.97)","(-3.13, -1.8)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.19, -1.82)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.15, -1.83)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.11, -1.81)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.16, -1.82)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.09, -1.85)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.09, -1.86)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.15, -1.8)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.12, -1.83)","(-3.14, -1.82)"
"(-1.25, -0.97)","(-3.12, -1.85)","(-3.14, -1.82)"
"(-0.92, -1.0)","(-3.11, -1.45)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.14, -1.49)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.11, -1.5)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.14, -1.52)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.13, -1.49)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.13, -1.49)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.17, -1.5)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.17, -1.5)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.1, -1.45)","(-3.14, -1.49)"
"(-0.92, -1.0)","(-3.15, -1.53)","(-3.14, -1.49)"
"(-0.6, -0.92)","(-3.12, -1.18)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.14, -1.15)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.16, -1.18)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.11, -1.12)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.11, -1.12)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.11, -1.18)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.18, -1.14)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.17, -1.2)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.13, -1.19)","(-3.14, -1.16)"
"(-0.6, -0.92)","(-3.18, -1.2)","(-3.14, -1.16)"
"(-0.32, -0.74)","(-3.16, -0.83)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.18, -0.86)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.12, -0.82)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.09, -0.8)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.16, -0.86)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.17, -0.82)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.12, -0.88)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.18, -0.81)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.15, -0.84)","(-3.14, -0.83)"
"(-0.32, -0.74)","(-3.19, -0.81)","(-3.14, -0.83)"
"(-0.12, -0.48)","(-3.1, -0.53)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.13, -0.51)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.09, -0.49)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.1, -0.51)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.14, -0.53)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.16, -0.49)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.13, -0.51)","(-3.14, -0.5)"
"(-0.12, -0.48)","(-3.18, -0.53)","(-3.14, -0.5)"
